ï»¿Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,2.984908208,1.695286441,0.010756452,-0.720507949,1.18067559,0.706561393,3.710003395,3.269783353,1.05210894,-5.637953893,4.090769512,3.589997242,0.376483651
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ghana,GHA,3.700000115,4,4.499999699,5.199999984,5.59999999,5.900003953,6.399912419,6.459591207,8.430637957,3.446596007,7.899740293,14.04600263,9.292511869
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greece,GRC,3.96737279,3.736916514,3.162447204,6.637943352,4.952469668,0.890703642,5.815236248,3.537636802,-0.444293912,-4.394817224,-5.448755761,-8.863679768,-6.571893179
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greenland,GRL,7.10159701,1.269035533,-0.971177945,-0.3796267,2.667513496,1.979585524,4.468980892,5.513059779,0.345909084,-5.411986294,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Grenada,GRD,1.872901282,-2.023900041,3.43732353,9.463973431,-0.647450316,13.27306387,-4.017708784,6.150583245,0.949050949,-6.630381,-0.476947536,0.745473908,-1.162790698
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guatemala,GTM,3.608868745,2.332544291,3.866638363,2.530837955,3.152030513,3.260162692,5.379613968,6.304250075,3.281093555,0.526193007,2.869372389,4.161945918,2.969848828
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea,GIN,2.503060561,3.658346471,5.164609466,1.24860126,2.340117313,2.997272561,2.496728569,1.757682351,4.936932709,-0.280192286,1.936217423,3.90876145,3.944111989
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea-Bissau,GNB,5.426987367,2.188906815,-0.985177525,0.568510176,2.76140199,4.265425195,2.309750124,3.204668686,3.204910483,3.314407697,4.432021672,9.028655594,-2.233317539
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guyana,GUY,-1.376727515,2.249999297,1.051000768,-1.00525525,3.293924791,-1.956911156,-5.342878892,7.020313451,1.976647058,3.31862417,4.370869417,5.437126058,4.816458917
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Haiti,HTI,0.875239923,-1.042697313,-0.261498231,0.362430598,-3.511333077,1.791686574,2.252992255,3.343279015,0.843944329,3.083247688,-5.497792337,5.523737754,2.885096051
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Honduras,HND,5.748148148,2.723193273,3.754337861,4.547038052,6.232302961,6.050916061,6.56699986,6.188252742,4.231864123,-2.431875015,3.731270148,3.835560728,-2.982074413
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Hong Kong SAR, China",HKG,7.663485913,0.560802766,1.65665506,3.056328301,8.700095212,7.388143132,7.032583323,6.464748708,2.127864186,-2.45911375,6.767610559,4.814675724,1.700302663
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Hungary,HUN,4.240403543,3.735111432,4.491147133,3.778347149,4.789353064,4.259657825,3.962944387,0.51127922,0.878582396,-6.551029707,0.78911688,1.806605435,-1.477944687
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iceland,ISL,4.74007585,3.762961518,0.453452076,2.711438159,8.228620875,6.00194571,4.232900251,9.722501818,1.150661157,-5.149588659,-3.067113678,2.40098108,1.309806059
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,3.840991157,4.823966264,3.803975321,7.860381475,7.922936613,9.284831507,9.263964759,9.801360337,3.890957063,8.479786622,10.25996299,6.63834773,5.081417925
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Indonesia,IDN,4.920064597,3.643466447,4.499475391,4.780369122,5.030873945,5.692571304,5.500951785,6.345022227,6.0137036,4.628871183,6.223854181,6.169784208,6.030050653
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Iran, Islamic Rep.",IRN,5.143162536,3.669671948,7.515598158,7.114681217,5.084051514,4.623405402,5.893936099,6.365359741,1.517819386,2.279724488,6.629451625,3.946149772,-6.56466366
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iraq,IRQ,1.406474812,2.305316984,-6.900180223,-33.10083802,54.15777462,4.400617192,10.15819958,1.377598148,6.608864867,5.809740006,5.537890251,10.21408931,12.61641718
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ireland,IRL,9.520995291,5.273287461,5.838314401,2.957232992,4.578394171,5.674197946,5.470139737,4.932182698,-2.609651126,-6.370677442,-0.27550501,2.772706339,-0.313052822
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Isle of Man,IMY,5.338364279,5.376166334,5.868974884,6.327778883,5.2,5.9,7.7,7.5,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Israel,ISR,8.923210647,0.110755049,-0.061055128,1.077013131,5.053095387,4.338950048,5.780081345,6.267268433,3.500651279,1.904217427,5.750532184,4.190876897,2.995789893
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,3.710147882,1.77280302,0.250778376,0.152649957,1.583269711,0.949620808,2.006401731,1.474124078,-1.049824651,-5.481378532,1.710582418,0.586820837,-2.770415892
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Jamaica,JAM,0.878703548,1.344929564,..,..,..,..,..,1.400000002,-0.714065463,-4.411220992,-1.480026897,1.703150085,0.724298566
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,2.257495292,0.355461713,0.289548448,1.685111736,2.360730112,1.302728139,1.692904249,2.192186227,-1.041636025,-5.526976489,4.652030143,-0.45272483,1.753689775
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Jordan,JOR,4.239817478,5.27137064,5.792385509,4.163751728,8.562737394,8.163780219,8.093331161,8.175719022,7.23240848,5.47658105,2.336830301,2.560808799,2.651203349
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kazakhstan,KAZ,9.800000002,13.5,9.800000002,9.3,9.6,9.699999999,10.7,8.9,3.3,1.199999999,7.3,7.500000001,4.999999999
